timestamp,message,logStreamName
1735471233511,"10.0.103.140 - - [29/Dec/2024:11:20:33 +0000] ""GET / HTTP/1.1"" 200 500 ""-"" ""ELB-HealthChecker/2.0"" ""-""",frontend/frontend/d3d1f5e8f1ac43cdba97e28f32481f6c
1735471245242,"10.0.101.176 - - [29/Dec/2024:11:20:45 +0000] ""GET / HTTP/1.1"" 200 500 ""-"" ""ELB-HealthChecker/2.0"" ""-""",frontend/frontend/766b90c97885420abdd1fa158594800b
1735471245243,"10.0.103.140 - - [29/Dec/2024:11:20:45 +0000] ""GET / HTTP/1.1"" 200 500 ""-"" ""ELB-HealthChecker/2.0"" ""-""",frontend/frontend/766b90c97885420abdd1fa158594800b
1735471245260,"10.0.102.61 - - [29/Dec/2024:11:20:45 +0000] ""GET / HTTP/1.1"" 200 500 ""-"" ""ELB-HealthChecker/2.0"" ""-""",frontend/frontend/766b90c97885420abdd1fa158594800b
1735471263515,"10.0.101.176 - - [29/Dec/2024:11:21:03 +0000] ""GET / HTTP/1.1"" 200 500 ""-"" ""ELB-HealthChecker/2.0"" ""-""",frontend/frontend/d3d1f5e8f1ac43cdba97e28f32481f6c
1735471263521,"10.0.102.61 - - [29/Dec/2024:11:21:03 +0000] ""GET / HTTP/1.1"" 200 500 ""-"" ""ELB-HealthChecker/2.0"" ""-""",frontend/frontend/d3d1f5e8f1ac43cdba97e28f32481f6c
1735471263531,"10.0.103.140 - - [29/Dec/2024:11:21:03 +0000] ""GET / HTTP/1.1"" 200 500 ""-"" ""ELB-HealthChecker/2.0"" ""-""",frontend/frontend/d3d1f5e8f1ac43cdba97e28f32481f6c
1735471275255,"10.0.101.176 - - [29/Dec/2024:11:21:15 +0000] ""GET / HTTP/1.1"" 200 500 ""-"" ""ELB-HealthChecker/2.0"" ""-""",frontend/frontend/766b90c97885420abdd1fa158594800b
1735471275255,"10.0.103.140 - - [29/Dec/2024:11:21:15 +0000] ""GET / HTTP/1.1"" 200 500 ""-"" ""ELB-HealthChecker/2.0"" ""-""",frontend/frontend/766b90c97885420abdd1fa158594800b
1735471275268,"10.0.102.61 - - [29/Dec/2024:11:21:15 +0000] ""GET / HTTP/1.1"" 200 500 ""-"" ""ELB-HealthChecker/2.0"" ""-""",frontend/frontend/766b90c97885420abdd1fa158594800b
1735471291852,"10.0.102.61 - - [29/Dec/2024:11:21:31 +0000] ""GET / HTTP/1.1"" 304 0 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"" ""89.186.28.14""",frontend/frontend/766b90c97885420abdd1fa158594800b
1735471292237,"10.0.102.61 - - [29/Dec/2024:11:21:32 +0000] ""GET / HTTP/1.1"" 304 0 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"" ""89.186.28.14""",frontend/frontend/d3d1f5e8f1ac43cdba97e28f32481f6c
1735471293527,"10.0.102.61 - - [29/Dec/2024:11:21:33 +0000] ""GET / HTTP/1.1"" 200 500 ""-"" ""ELB-HealthChecker/2.0"" ""-""",frontend/frontend/d3d1f5e8f1ac43cdba97e28f32481f6c
1735471293535,"10.0.101.176 - - [29/Dec/2024:11:21:33 +0000] ""GET / HTTP/1.1"" 200 500 ""-"" ""ELB-HealthChecker/2.0"" ""-""",frontend/frontend/d3d1f5e8f1ac43cdba97e28f32481f6c
